"32687.02	0.00	0	2070.22	0.62	0.1	0.1	-0.1	0	0.95	4.73	0.84"
"32687.11	0.00	0	2069.9	0.6	0.1	0.1	0.0	0	0.95	4.76	0.72"
"32687.2	0.00	0	2070.03	0.56	0.1	0.1	-0.1	0	0.95	4.86	0.72"
"32687.3	0.00	0	2070.89	0.51	0.1	0.1	-0.1	0	0.95	4.91	0.75"
"32687.42	0.00	0	2072.22	0.47	0.1	0.1	-0.1	0	0.95	4.83	0.79"
"32687.52	0.00	0	2074.01	0.43	0.1	0.1	-0.1	0	0.95	4.78	0.8"
"32687.61	0.00	0	2075.91	0.38	0.1	0.1	0.0	0	0.95	4.78	0.81"
"32687.7	0.00	0	2077.71	0.36	0.1	0.1	0.0	0	0.95	4.85	0.86"
"32687.8	0.00	0	2079.45	0.36	0.1	0.2	-0.1	0	0.95	4.85	0.9"
"32687.93	0.00	0	2080.88	0.36	0.1	0.2	-0.1	0	0.95	4.73	0.82"
"32688.02	0.00	0	2082.12	0.37	0.1	0.1	0.0	0	0.95	4.68	0.79"
"32688.11	0.00	0	2083.28	0.39	0.1	0.1	-0.1	0	0.95	4.67	0.85"
"32688.2	0.00	0	2084.27	0.45	0.2	0.1	0.0	0	0.95	4.69	0.9"
"32688.34	0.00	0	2085.03	0.5	0.2	0.1	0.0	0	0.95	4.7	0.88"
"32688.44	0.00	0	2085.57	0.51	0.2	0.1	0.0	0	0.95	4.79	0.83"
"32688.53	0.00	0	2086.36	0.52	0.2	0.1	0.0	0	0.95	4.8	0.77"
"32688.66	0.00	0	2087.17	0.54	0.2	0.1	0.0	0	0.95	4.8	0.77"
"32688.76	0.00	0	2087.72	0.57	0.2	0.1	0.0	0	0.95	4.75	0.75"
"32688.85	0.00	0	2087.72	0.57	0.2	0.1	0.0	0	0.95	4.74	0.69"
"32688.94	0.00	0	2087.81	0.55	0.2	0.1	0.0	0	0.95	4.76	0.56"
"32689.03	0.00	0	2087.89	0.51	0.2	0.1	0.1	0	0.95	4.76	0.71"
"32689.13	0.00	0	2088.05	0.47	0.2	0.1	0.0	0	0.95	4.66	0.67"
"32689.25	0.00	0	2087.86	0.42	0.2	0.1	0.1	0	0.95	4.6	0.72"
"32689.35	0.00	0	2087.44	0.38	0.2	0.1	0.1	0	0.95	4.56	0.75"
"32689.44	0.00	0	2087.01	0.32	0.2	0.1	0.1	0	0.95	4.57	0.82"
